iter	Passed	Remaining
985	157788	2240
986	157841	2078
987	157889	1917
988	157951	1756
989	158011	1596
990	158071	1435
991	158134	1275
992	158195	1115
993	158249	955
994	158305	795
995	158387	636
996	158455	476
997	158518	317
998	158579	158
999	158636	0
